id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
90	42	2	15	4	1	2	1	2	6	2	4	8	2	18	1	4	0	1	0	0	0	0	0	0	0	1	1	0	3	30	60
91	21	4	16	3	1	2	1	1	3	2	2	2	2	19	1	5	1	1	1	1	1	0	0	1	1	1	1	0	2	70	40
92	32	1	15	4	1	1	2	2	3	4	2	6	1	22	1	7	1	1	1	0	1	1	0	1	0	1	0	1	3	3	3
93	72	4	15	5	1	1	1	2	6	2	4	2	1	17	1	6	1	1	0	0	1	1	0	0	0	1	1	1	5	30	0
94	62	5	15	4	1	1	1	1	5	2	4	2	1	15	1	2	1	0	0	0	0	0	1	0	0	1	0	0	1	45	60
95	31	4	16	4	1	1	1	1	6	2	4	5	2	 	1	2	1	1	1	0	0	0	0	0	0	1	1	1	1	180	45
96	61	3	16	4	1	2	3	1	4	2	1	2	1	18	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	120	300
97	21	2	15	3	1	1	3	1	6	2	3	2	1	21	1	1	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0
98	11	6	12	3	1	1	1	1	6	3	4	2	2	15	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1200	1200
99	62	1	15	3	1	2	1	1	3	2	2	2	1	17	1	3	1	1	1	1	0	0	0	1	1	1	1	0	1	30	60
100	42	5	14	3	1	1	1	2	6	4	1	2	2	21	1	8	0	0	1	1	0	0	0	0	0	0	0	0	6	30	30
101	51	2	14	4	1	2	1	2	4	3	2	2	1	18	1	3	1	0	0	0	0	0	0	0	0	1	0	0	5	60	120
102	21	3	13	3	1	1	1	1	6	2	4	5	1	14	1	8	1	1	0	0	0	0	1	0	0	1	1	0	1	120	0
103	53	2	14	5	1	2	2	1	5	2	4	2	1	16	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	60	90
104	52	2	15	1	1	2	3	2	3	1	3	2	2	19	1	6	1	1	0	0	0	0	0	0	0	1	1	0	1	60	180
105	81	5	28	2	1	2	3	1	2	3	4	7	1	 	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	300	300
106	53	1	16	1	1	1	2	2	2	1	3	1	2	 	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	180	300
107	42	1	16	3	1	2	1	2	2	3	2	6	2	22	1	3	1	1	1	1	0	0	1	1	1	1	1	0	1	150	200
108	62	5	14	5	1	1	2	2	6	2	4	2	2	18	1	3	1	1	0	0	1	0	0	0	0	1	1	1	4	40	20
109	52	1	14	4	1	2	2	1	2	3	4	1	1	31	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	560	400
110	61	3	15	3	1	2	1	2	6	5	2	3	2	21	1	3	0	1	1	0	0	0	0	0	0	0	0	0	6	10	0
111	81	1	15	3	1	2	1	2	3	2	2	2	1	17	1	6	1	1	1	0	0	1	1	0	1	1	0	0	2	100	60
112	41	3	15	3	1	2	1	1	6	2	3	9	2	26	1	8	1	1	1	0	1	1	1	0	1	1	1	0	1	120	300
113	81	2	14	4	1	2	2	1	5	2	2	2	1	17	1	5	0	1	0	0	0	0	0	0	0	0	0	0	1	60	20
114	11	6	15	2	1	2	1	1	6	2	3	2	1	17	1	3	1	1	0	1	0	0	0	0	0	1	0	1	1	180	240
115	52	1	14	6	1	2	1	1	1	1	2	1	2	 	1	6	1	0	1	0	1	0	1	1	0	1	1	1	1	120	720
116	62	5	13	4	1	1	1	2	5	4	4	4	1	15	1	2	1	1	1	0	1	1	0	1	0	1	1	0	3	240	60
117	41	4	15	3	1	2	1	2	4	4	4	2	1	15	1	3	1	1	1	0	0	0	0	0	0	1	1	0	1	120	360
118	21	4	12	4	1	2	2	2	5	2	2	2	2	17	1	3	0	1	0	0	0	0	0	0	0	1	1	0	6	15	0
119	42	1	13	4	1	2	1	1	4	3	1	4	1	15	1	2	1	1	1	0	1	0	0	0	0	1	1	0	2	30	15
120	21	3	14	3	1	2	2	1	3	2	4	5	1	16	1	4	1	1	1	0	0	0	0	0	0	1	1	0	1	60	30
121	81	4	14	3	1	1	1	2	5	2	2	2	2	19	1	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
122	61	4	18	2	3	1	1	2	5	2	1	9	1	29	1	2	1	1	0	0	0	0	0	0	0	1	1	0	2	30	20
123	11	6	13	5	1	2	1	1	1	1	1	1	2	 	1	5	1	1	1	1	0	1	1	1	1	1	1	0	1	40	120
124	62	1	16	4	1	2	1	1	1	1	1	1	2	 	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	120	240
125	21	3	15	4	2	1	1	2	5	2	1	6	2	24	1	1	0	1	1	0	0	1	0	0	0	0	0	0	3	5	30
126	81	4	17	3	1	1	1	1	4	2	2	2	2	17	1	6	1	1	1	1	1	1	1	1	1	1	0	0	4	60	90
127	52	3	13	4	1	2	1	1	5	2	4	2	1	14	1	4	1	1	0	0	0	0	1	1	0	1	1	1	1	60	30
128	42	4	25	2	1	2	2	2	5	4	1	9	1	25	1	3	1	1	0	0	0	0	1	0	0	1	0	1	1	150	150
129	21	2	15	4	1	2	1	1	4	2	1	4	1	 	1	1	0	1	1	0	0	0	0	0	0	1	1	0	2	20	20
130	52	4	14	4	1	1	2	1	2	1	1	2	2	19	1	6	1	1	1	0	1	1	0	0	0	1	1	1	2	60	180
131	21	2	15	3	1	2	1	2	3	3	4	4	1	21	1	2	1	1	1	0	1	0	1	1	0	1	1	1	1	120	120
132	21	4	15	2	2	2	1	1	3	1	3	9	2	21	1	6	1	1	1	0	0	0	1	0	1	0	1	0	1	240	240
133	21	4	12	5	1	1	2	1	2	1	4	1	2	31	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	240	240
134	71	4	13	4	1	2	2	2	5	2	2	2	2	24	1	6	1	1	0	0	0	0	0	0	0	1	0	0	3	30	20
135	81	3	18	4	1	1	2	1	3	2	4	2	2	18	1	8	1	1	0	0	0	0	0	1	0	1	1	0	2	240	180
136	71	4	14	4	1	1	1	1	5	2	2	2	2	18	1	3	0	1	0	0	0	0	0	0	0	1	0	0	6	0	0
137	61	4	14	4	1	2	2	2	5	2	2	2	2	21	1	3	1	1	1	0	1	1	0	0	0	1	0	0	1	60	120
138	51	3	18	5	1	2	1	1	2	1	2	7	2	 	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	200	300
139	71	1	31	3	1	2	1	2	1	1	1	1	1	 	1	6	1	1	1	0	0	1	0	0	0	1	1	0	2	120	120
140	72	3	14	4	1	2	2	1	6	2	2	2	2	18	1	6	0	1	0	0	0	0	0	0	0	0	0	0	5	5	5
141	11	6	15	2	1	2	1	1	6	3	2	2	1	18	1	6	1	1	1	1	1	0	1	0	0	1	1	1	1	120	60
142	52	5	13	3	1	1	1	1	5	4	1	9	2	23	2	3	1	1	1	1	1	0	1	1	1	1	1	0	1	660	800
143	51	3	17	2	1	2	1	2	4	4	2	2	1	18	1	1	1	1	0	0	1	1	0	0	1	1	1	0	3	60	120
144	71	3	16	5	1	2	1	2	5	2	3	7	2	31	1	3	1	1	0	0	0	1	0	1	0	1	1	0	1	60	30
145	21	1	16	4	1	2	2	2	1	1	2	1	2	31	1	3	1	1	1	1	1	0	1	1	1	1	1	0	1	120	90
